Name;Weight (kg);Length (mm);Width (mm);Height (mm);Price (€);ID_part;ID_model;ID_product_type;ID_composition;ID_finish
DRAIN PLUG, FLOOR & TRUNK PAN, 1967-77 GM (STAMPED STEEL);0.09;127.0;88.9;5.08;5.94;0;[164, 174, 131, 390, 147, 295, 153, 429, 251, 178, 161, 416, 125, 225, 378, 409, 113, 195, 443, 210];0;[0];-1
SCREEN, COWL VENT, 1968-72 A-BODY, 1969-72 GRAND PRIX, W/ AC;0.14;375.92;121.92;38.1;22.94;1;[75, 373, 175, 400, 306, 252, 299, 39, 304];1;[1];0
SPRING, HOOD HINGE, 1964-67/1970-72 A-BODY;0.91;187.96;45.72;30.48;12.74;2;[368, 365, 379, 238, 19, 313, 339, 300, 355, 400, 416, 48, 159, 428, 127, 312, 78, 14];2;[0];1
1964-1977 HOOD ADJUSTER BOLT KIT, GM A-BODY, RIVIERA, 1959-1963 BONNEVILLE AND CATALINA;0.05;50.8;30.48;25.4;12.74;3;[329, 442, 414, 66, 27, 100, 230, 246, 146, 178, 250, 150, 60, 89, 159, 5, 428, 311, 136];3;[-1];-1
HOOD PIN SET, 1970-72 CHEVELLE/EL CAMINO, SS;1.36;142.24;86.36;25.4;31.44;4;[163, 392, 404, 91, 31, 29, 41, 231, 434, 254, 259, 405, 399, 232, 105, 71, 285, 85, 240, 194, 126, 402, 313, 118, 139, 300, 387, 116, 260, 400, 182, 415, 1, 438, 406, 152, 385, 171, 333, 123, 130, 93, 384, 52, 138, 179, 9, 112, 156, 64, 133, 308];4;[0];-1
SEAL, INNER FENDERWELL A-ARM, 1968-72 CHEVELLE/EL CAMINO/MONTE CARLO, STEEL;0.05;170.18;45.72;38.1;11.04;5;[373, 175, 400];5;[2];-1
SCREEN, COWL VENT, 1968-72 W/O AC;0.14;375.92;121.92;38.1;22.94;6;[75, 373, 175, 400, 306, 252, 299, 39, 304];1;[1];0
FIREWALL WIRE ROUTING GUTTER;0.09;347.98;71.12;17.78;7.64;7;[215, 274, 206, 341, 302, 25, 11, 83, 192, 262, 243, 393, 354, 347, 271, 309, 426, 379, 230, 419, 403, 86, 12, 257, 134, 155, 235, 160, 427, 159, 224, 288, 219, 176, 95];0;[1];-1
"1954-1977 GM 7/16"" X 14 CAGE NUT";0.14;63.5;63.5;50.8;15.29;8;[341, 442, 349, 199, 211, 154, 191, 379, 230, 246, 178, 430, 263, 328, 2, 159, 205, 219, 367, 180];0;[0];-1
DRAIN PLUG, FLOOR & TRUNK PAN, 1961-67 GM, NOTCHED;0.09;86.36;60.96;5.08;6.37;9;[57, 310, 80, 417, 58, 244, 272, 350, 19, 339, 103, 148, 333, 315, 3, 256, 376, 401, 428, 311, 136, 24];0;[0];-1
FASTENER SET, FRONT END, 1968-72 CHEVELLE/EL CAMINO/MONTE CARLO;2.09;200.66;111.76;86.36;45.04;10;[373, 175, 400, 416];6;[0];2
INSULATION PAD, FIREWALL, 1964-67 A-BODY, W/AC;1.5;363.22;185.42;129.54;42.49;11;[209, 19, 339, 48, 428, 312, 14];7;[3];3
INSULATION PAD, FIREWALL, 1968-72 A-BODY, NO AC;1.5;360.68;152.4;139.7;42.49;12;[75, 373, 175, 400, 306, 252, 299, 39, 304];7;[3];3
HOOD HINGE, 1970-72 CHEVELLE/EL CAMINO/MONTE CARLO, REPRO;2.36;518.16;139.7;81.28;63.74;13;[313, 300, 355, 400];4;[0];0
BOLT, FENDER TO BODY, 1978-87 G-BODY;0.05;38.1;25.4;25.4;0.84;14;[215, 274, 109, 25, 361, 403, 96, 155, 160, 288];8;[0];0
STOP CLIP, WINDSHIELD GLASS, 1968-72 A-BODY;0.0;91.44;58.42;7.62;8.49;15;[75, 379, 373, 175, 400, 84, 306, 252, 299, 39, 304];9;[0, 2];1
HARDWARE, INNER FENDER, 1964-72 CHEV/EL CAM/MONTE/GTO/ LEM/TEMP;0.64;119.38;86.36;43.18;22.94;16;[44, 53, 400, 233, 62, 95];0;[0];4
EMBLEM, HOOD, 1970-72 CHEVELLE/EL CAMINO, SS, COWL INDUCTION;0.18;157.48;48.26;20.32;33.99;17;[185, 313, 300, 400];10;[4];5
"HOOD HINGE BOLT, 1964-72 GM ""A"" BODY/RIVIERA/1967-76 BONN/CAT/GP, 8 PC KIT";0.23;83.82;60.96;5.08;33.99;18;[329, 302, 295, 44, 53, 400, 144, 134, 115, 166, 409, 113, 219, 176, 95];2;[0];2
HOOD HINGE, 1964 CHEVELLE/PONTIAC FULL SIZE/1964-67 PONTIAC/CUTLASS A-BODY;1.68;515.62;137.16;78.74;59.49;19;[360, 151, 204, 129, 48, 317, 303, 279, 428, 312, 14];4;[0];0
FASTENER SET, FRONT END, 1964-67 CHEVELLE/EL CAMINO;2.0;200.66;109.22;83.82;45.04;20;[19, 339];6;[0];2
FENDER BRACE, 1966-72 CHEVELLE/EL CAMINO/1970-72 MONTE CARLO;0.18;304.8;20.32;7.62;14.44;21;[203, 198, 400, 416];8;[0];-1
1978-87 EL CAMINO LICENSE PLATE POCKET;0.59;419.1;223.52;93.98;67.99;22;[361, 408];11;[5];5
VACUUM ACTUATOR ASSEMBLY, COWL INDUCTION, 1970-72 CHEVELLE/EL CAMINO/MONTE;0.18;83.82;66.04;45.72;28.04;23;[313, 300, 400];12;[-1];-1
SEAL, INNER FENDERWELL A-ARM, 1968-72 CHEVELLE/EL CAMINO/MONTE CARLO, PLASTIC;0.05;205.74;50.8;48.26;10.19;24;[373, 175, 400];5;[2];-1
FLOW CONTROL VALVE, COWL INDUCTION, 1970-72 CHEVELLE/EL CAMINO/MONTE CARLO;0.0;114.3;101.6;12.7;21.24;25;[313, 300, 400];13;[6];-1
CABLES, TAILGATE, 1978-87 EL CAMINO;0.14;345.44;38.1;12.7;16.99;26;[361];14;[7];6
HOOD SCREEN, 1970-72 CHEVELLE/EL CAMINO, SS, COWL INDUCTION (PREMIUM REPRO);0.27;685.8;101.6;12.7;22.94;27;[313, 300, 400];12;[-1];-1
FLOOR PAN PATCH, 1978-88 G-BODY;4.17;1117.6;774.7;142.24;76.49;28;[215, 274, 109, 25, 361, 403, 96, 155, 288];15;[0];4
HOOD DOOR SCREWS, 1970-72 CHEVELLE/EL CAMINO, SS, COWL INDUCTION, W/BUSHINGS;0.0;50.8;50.8;12.7;8.49;29;[313, 300, 400];16;[-1];-1
SWITCH, AIR CONTROL VALVE SOLENOID/TRANSMISSION KICKDOWN;0.09;109.22;63.5;63.5;33.99;30;[75, 183, 248, 178, 322, 407, 142, 28, 195, 443, 210];17;[-1];-1
INSULATION PAD, FIREWALL, 1968-72 A-BODY, W/AC;1.32;337.82;149.86;101.6;42.49;31;[75, 373, 175, 400, 306, 252, 299, 39, 304];7;[3];3
SEAL, COWL INDUCTION FLANGE, 1970-72 CHEVELLE/EL CAMINO;0.59;508.0;508.0;71.12;28.04;32;[20, 313, 444, 300, 400];18;[2];-1
SUPPORTS, COWL HOOD DOOR 1970-72 CHEVELLE/EL CAMINO, SS, COWL INDUCTION;0.14;101.6;86.36;27.94;28.04;33;[313, 300, 400];1;[-1];-1
INNER FENDERWELL, 1968-72 CHEVELLE/EL CAMINO, PLASTIC;2.72;1143.0;533.4;254.0;93.49;34;[373, 175];8;[5];0
BRACKET, 70-72 COWL IND. THROTTLE SWITCH/68-77 TURBO 400 TRANS KICKDOWN SWITCH;0.09;101.6;50.8;25.4;16.99;35;[75, 301, 183, 248, 178, 42, 407, 142, 28, 299, 39, 304];12;[-1];-1
TRUNK LID LATCH MECHANI,64-72 GM A-BODY/1959-70 BONN/CAT/GP/1961-63 GM Y-BODY;0.14;101.6;101.6;12.7;22.94;36;[442, 379, 44, 321, 400, 170, 207, 421, 165, 371, 92, 159, 284, 305, 233, 172, 180];19;[0];-1
SEAL, INNER FENDERWELL A-ARM, 1966-67 CHEVELLE/EL CAMINO;0.36;177.8;86.36;55.88;9.34;37;[187, 270];5;[2];-1
SEAL, INNER FENDERWELL A-ARM, 1964-65 CHEVELLE/EL CAMINO;0.05;187.96;81.28;33.02;8.49;38;[90, 121];5;[2];-1
HOOD LOCK, 1970-72 CUTLASS, OAI/W-25;0.18;71.12;68.58;68.58;39.94;39;[94];20;[0];-1
HOOD HINGES, W/SPRINGS, 1970-72 CHEVELLE/EL CAMINO, HD SPRINGS;5.44;508.0;139.7;127.0;135.99;40;[281, 234, 358, 313, 300, 355, 416];4;[0];0
SUPPORT, VACUUM ACTUATOR, COWL INDUCTION, 70-72 CHEVELLE, EL CAMINO, MONTE;0.27;152.4;81.28;22.86;15.29;41;[313, 300, 400];21;[0];0
TAILGATE CABLE KIT, 1968-77 EL CAMINO, 8 PC;0.41;111.76;81.28;20.32;42.49;42;[248];22;[0];-1
INNER FENDERWELL, 1968-72 CHEVELLE/EL CAMINO;4.58;1143.0;533.4;533.4;122.39;43;[373, 175];8;[0];4
PATCH PANEL, FENDER, 1970-72 CUTLASS;1.5;426.72;342.9;76.2;107.94;44;[94];23;[0];4
