Category,Version,Supplier,Supplier_type,Country,City,Address,IATA,City_airport,climate_impact_kg_co2,flight_distance_km,co2_emissions_kg,climate_impact_of_contrails_ozone_formation_etc_kg,Fuel_consumption_l,total_climate_impact
Abarth,8.0,Joop Stolze Classic Cars,service,Belgium,Lier,"Lierweg 34a, 2678 CW De Lier, Netherlands",TTC,Brea,3133.0,9634.0,1064.0,2069.0,421.0,5202.0
Abarth,,Berni Motori,service,Italy,Vittoria,"Via Monte Vioz, 7, 26847 Maleo, LO, Italy",BAR,Bar,6055.0,15562.0,2042.0,4013.0,808.0,10068.0
Abarth,,KFZ Werkstatt Harald Dietze,service,Germany,Zwickau,"Zwischen den Wegen 7, 78239 Rielasingen-Worblingen, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Abarth,,Middle Barton Garage,spare parts,United Kingdom,Bicester,"Ardley Road, Somerton, Bicester, Oxfordshire OX25 6NG, UK",OXF,Oxford,449.0,1619.0,169.0,280.0,67.0,729.0
AC,,Cobra Performance Ltd,service,United Kingdom,Arnold,"777 Arnold Drive Suite 200, Martinez, CA 94553, USA",LBE,Arnold,1705.0,5919.0,586.0,1119.0,232.0,2824.0
AC,,DrivePast,service,France,Yerres,"6 Rue Henri Paris, 59200 Tourcoing, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
AC,,Redline Engineering UK,service,Canada,Surrey,"Ten Acre Farm, Stonehill Road, Ottershaw, Lyne, Chertsey, Surrey KT16 0AQ, UK",TMZ,Walton-on-Thames,8091.0,19638.0,2724.0,5367.0,1077.0,13458.0
AC,,Total Headturners,service,Australia,Epping,"Thornwood. Epping CM16 6NE, UK",LUX,Luxembourg,489.0,1759.0,182.0,307.0,51.0,796.0
Alfa Romeo,3.0,Garage Stevens B.V.,service,Netherlands,Zwolle,"Geleenstraat 60, 6155 ND Puth, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Abarth,8.0,Joop Stolze Classic Cars,service,Belgium,Lier,"Lierweg 34a, 2678 CW De Lier, Netherlands",TTC,Brea,3133.0,9634.0,1064.0,2069.0,421.0,5202.0
Alfa Romeo,3.0,Montagna d’Oro,service,Netherlands,Zwolle,"Houtwal 30b, 8431 EX Oosterwolde, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,Alex Jupe Motorsports,service,United Kingdom,Chichester,"Bosham, Unit 8A, Top Barn, Church Farm, Old Park Ln, Chichester PO18 8AP, UK",QUG,Chichester,,,,,,
Alfa Romeo,,Alfa As,service,Netherlands,Zwolle,"Cannenburgerweg 63m, 1244 RH Ankeveen, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,Alfa Classic Center,service,Germany,Zwickau,"Schulte-Heuthaus-Straße 23A, 44379 Dortmund, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Alfa Classic Motors,service,France,Yerres,"81 Impasse de la Source, 83170 Brignoles, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Alfa Romeo,,Alfa Donnini Repairs,service,Australia,Whyalla,"849 Dandenong Road, Malvern East VIC 3145, Australia",WYA,Whyalla,6789.0,17032.0,2288.0,4501.0,905.0,11290.0
Alfa Romeo,,Alfa Mario,service,Netherlands,Zwolle,"Boschdijk 944, 5627 AC Eindhoven, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,Alfa Michel,service,Germany,Zwickau,"Auf dem Höchst 4, 54611 Scheid, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Alfa Montreal Service,service,Germany,Zwickau,"Im Johannesgarten 3, 77975 Ringsheim, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Alfa Parts,service,Switzerland,Zürich,"Zelgstrasse 91, 3661 Uetendorf, Switzerland",ZRH,Zürich,427.0,1770.0,158.0,269.0,45.0,696.0
Alfa Romeo,,Alfa Zentrale,service,Germany,Zwickau,"Rosendahler Str. 139b, 58285 Gevelsberg, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Alfaholics,service,United Kingdom,Clevedon,"Hither Grn, Clevedon BS21 6XU, UK",BRS,Bristol,430.0,1540.0,163.0,267.0,64.0,697.0
Alfa Romeo,,Alfaman Services Ltd,service,Peru,Imperial,"235D Imperial Drive, Rayners Lane, Harrow HA2 7HE, UK",IML,Imperial,2320.0,7575.0,792.0,1528.0,313.0,3848.0
Alfa Romeo,,Alfas Unlimited,service,United States,Norfolk,"89 Greenwoods Road West, Norfolk, CT 06058, USA",OFK,Norfolk,2168.0,7191.0,741.0,1427.0,293.0,3595.0
Alfa Romeo,,Arnst Auto-Technik GmbH,service,Germany,Zwickau,"Schwarzer Weg 9, 22309 Hamburg, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Autobedrijf Brinkman,service,Netherlands,Zwolle,"Veldkersweg 6, 3053 JR Rotterdam, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,Automobielbedrijf van Neerijnen,service,Netherlands,Zwolle,"Atoomweg 276, 3542 AB Utrecht, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,Autoservice Gall,service,Germany,Zwickau,"Mettlacher Straße 3, 81379 München, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Balocco Motors GmbH,service,Germany,Zwickau,"Kunaustraße 35, 22393 Hamburg, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Bella Machina v.o.f.,service,Netherlands,Zwolle,"Kamperstraat 9, 7418 CA Deventer, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,Berfelo Italian Car Services,service,Netherlands,Zwolle,"Uitmaat 13, 6987 ER Giesbeek, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,Bergia Paolo,service,Italy,Vittoria,"Via Bignone, 85, 10064 Pinerolo, TO, Italy",BAR,Bar,6055.0,15562.0,2042.0,4013.0,808.0,10068.0
Alfa Romeo,,Cekel Classics,service,Germany,Zwickau,"Mühlenhagen 130, 20539 Hamburg, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Classic Cars Hartmann,service,Austria,Wolfsberg,"Kinostraße 5, 3680 Persenbeug-Gottsdorf, Austria",VCE,Venice,503.0,1964.0,185.0,318.0,73.0,821.0
Alfa Romeo,,De Alfa Expert,service,Germany,Soest,"Soesterbergsestraat 27, 3768 EA Soest, Netherlands",ESS,Essen,527.0,1936.0,194.0,333.0,77.0,860.0
Alfa Romeo,,Garage Boxy,service,Belgium,Zwijndrecht,"Oude Gentweg 10, 9840 De Pinte, Belgium",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,Garagebedrijf Steutel,service,Netherlands,Zwolle,"Provincialeweg Zuid 13, 4286 LJ Almkerk, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,Ian Ellis Classic Alfas,service,United Kingdom,Lewes,"52 The Old Brickworks, Station Road, Plumpton Green, Lewes BN7 3DF, UK",LEW,Lewes,1401.0,5071.0,484.0,917.0,191.0,2318.0
Alfa Romeo,,KFZ Meisterbetrieb Hesshaus,service,Germany,Zwickau,"Lägenfeldstraße 34, 30952 Ronnenberg, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Milano Motors,service,Germany,Zwickau,"Harffstraße 110A, 40591 Düsseldorf, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Oldtimer Vetter,service,Switzerland,Zürich,"Schwarzenburgstrasse 840, 3145 Niederscherli, Switzerland",ZRH,Zürich,427.0,1770.0,158.0,269.0,45.0,696.0
Alfa Romeo,,Passione Alfa,service,Germany,Zwickau,"Kolpingring 12, 82041 Oberhaching, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,QV Automotive Engineering,service,Australia,Whyalla,"4/62 Maryborough Street, Fyshwick ACT 2609, Australia",WYA,Whyalla,6789.0,17032.0,2288.0,4501.0,905.0,11290.0
Alfa Romeo,,Stalder & Moser GmbH,service,Switzerland,Zürich,"Uesslingerstrasse 24, 8548 Ellikon an der Thur, Switzerland",ZRH,Zürich,427.0,1770.0,158.0,269.0,45.0,696.0
Alfa Romeo,,Usato,service,Netherlands,Zwolle,"Houtstraat 6, 2984 AD Ridderkerk, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,VeloceSport,service,United Kingdom,Boston,"Pine Warren, Boston Road, Heckington, Lincolnshire NG34 9JF, UK",BOS,Boston,1440.0,5180.0,497.0,943.0,197.0,2383.0
Alfa Romeo,,Vrehen Classico,service,Netherlands,Zwolle,"Beitel 12A, 6466 GZ Kerkrade, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,Afra sas,spare parts,Italy,Vittoria,"Via Carducci, 36/38, 20019 Settimo Milanese, MI, Italy",BAR,Bar,6055.0,15562.0,2042.0,4013.0,808.0,10068.0
Alfa Romeo,,Alfa Delta,spare parts,Italy,Vittoria,"Via Lambro, 85, 21050 Marnate, VA, Italy",BAR,Bar,6055.0,15562.0,2042.0,4013.0,808.0,10068.0
Alfa Romeo,,Alfa Hinzen,spare parts,Germany,Zwickau,"Düsseldorfer Landstraße 301, 47259 Duisburg, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Alfa Onlineshop by Fritz Wenger,spare parts,Germany,Zwickau,"Thierhaupter Straße 6, 86692 Münster, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Alfa Parts,spare parts,United States,Berkeley,"1221 Fourth St, Berkeley, CA 94710, USA",OAK,Oakland,2948.0,9165.0,1002.0,1946.0,396.0,4894.0
Alfa Romeo,,Alfa Romeo Ersatzteilprofis Stefan Götzelmann,spare parts,Germany,Zwickau,"Dainbacher Weg 6, 97980 Bad Mergentheim, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Alfa VHB,spare parts,France,Yerres,"99 Rue de Colombes, 92600 Asnières-sur-Seine, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Alfa Romeo,,Alfa-Service Hurtienne GmbH,spare parts,Germany,Zwickau,"Siemensstraße 32, 59199 Bönen, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Alfamotive,spare parts,Netherlands,Zwolle,"Poort van Midden Gelderland Rood 1A, 6666 LS Heteren, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,AlfaStop,spare parts,United Kingdom,Belper,"PO Box 50, Belper, Derbyshire DE56 1AS, UK",DCN,Derby,,,,,,
Alfa Romeo,,AlfaStrada,spare parts,Netherlands,Zwolle,"Perspectief 10, 3892 GD Zeewolde, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,Alfisti Shop,spare parts,Germany,Zwickau,"Dieksdamm 6, 32825 Blomberg, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Bertelsbeck Automotive GmbH,spare parts,Germany,Zwickau,"Schulze-Delitzsch-Straße 4, 59348 Lüdinghausen, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Centerline International,spare parts,United States,Lafayette,"1450 Overlook Drive, Lafayette, CO 80026, USA",LAF,Lafayette,1912.0,6495.0,655.0,1257.0,259.0,3169.0
Alfa Romeo,,Classic Alfa,spare parts,United Kingdom,Mitcham,"Unit 21 The IO Centre, 57a Croydon Rd, Mitcham, Croydon CR4 4JA, UK",NEW,New Malden,2216.0,7311.0,757.0,1459.0,299.0,3675.0
Alfa Romeo,,Classic Alfa Parts,spare parts,Netherlands,Zwolle,"Van der Heijdenstraat 12, 7102 JA Winterswijk, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,EB Spares Ltd,spare parts,United States,Westbury,"31 Link Rd, West Wilts Trading Estate, Westbury BA13 4LS, UK",VLY,Valley Stream,2657.0,8428.0,905.0,1752.0,358.0,4409.0
Alfa Romeo,,Frank Hanel GmbH,spare parts,Germany,Zwickau,"Hamelner Straße 36, 32683 Barntrup, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,G. Häckner GmbH,spare parts,Germany,Zwickau,"Rudolf-Diesel-Straße 31, 32683 Schweinfurt, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Goos Van Pelt Centro Ricambi,spare parts,Netherlands,Zwolle,"Bagijnhof 31, 4264 AZ Veen, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,OKP Parts & Engineering GmbH,spare parts,Germany,Zwickau,"Xaver-Weismor-Straße 94, 81829 München, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Scuderia 116,spare parts,France,Yerres,"30 Rue de la Gare, 79250 Nueil-les-Aubiers, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Alfa Romeo,,Socaro sprl,spare parts,Belgium,Zwijndrecht,"Avenue Albert 1er 181, Genval 1332 Rixensart, Belgium",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,The Spare Place,spare parts,Australia,Whyalla,"202 Portrush Road, Trinity Gardens SA 5068, Australia",WYA,Whyalla,6789.0,17032.0,2288.0,4501.0,905.0,11290.0
Alfa Romeo,,Van Lingen Alfa Parts BV,spare parts,Netherlands,Zwolle,"Fortweg 5, 3992 LX Houten, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,Victor Parts,spare parts,France,Yerres,"15ter Bd Jean Moulin, 44100 Nantes, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Allard,,Allard Sportscars,service,United States,Berkeley,"Gloucestershire Science & Technology Park, Berkeley GL13 9FB, UK",OAK,Oakland,2948.0,9165.0,1002.0,1946.0,396.0,4894.0
Alvis,,Chris Prince Ltd,service,,,"Crosemere, Cockshutt, Ellesmere SY12 0JP, UK",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
Alvis,,Earley Engineering Ltd,service,United States,Hereford,"Gooses Foot Industrial Estate, Kingstone, Hereford HR2 9HY, UK",CGC,Gloucester,6146.0,15745.0,2073.0,4074.0,820.0,10220.0
Alvis,,Fisher Restoration Ltd,service,,,"1 The Old Works, Chateau Impney Estate, Droitwich WR9 0FF, UK",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
Alvis,,Milford Vintage Engineering Ltd,service,,,"Main Street, Kirkmichael By Blairgowrie PH10 7NT, UK",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
Alvis,,Red Triangle,service,United Kingdom,Kenilworth,"Common Lane, Kenilworth, Warwickshire CV8 2EL, UK",BYG,Buffalo Grove,2366.0,7690.0,807.0,1558.0,319.0,3924.0
American Brands,1.0,Adams Classic Cars,spare parts,Netherlands,Zwolle,"Handelsweg 13, 3881 LS Putten, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
American Brands,6.0,American Cars By BDC,service,Belgium,Zwijndrecht,"Nijverheidslaan 14, Gullegem 8560 Wevelgem, Belgium",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
American Brands,9.0,Catalina USA Parts BV,spare parts,Netherlands,Zwolle,"Tolhuisweg 14, 6071 RG Swalmen, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
