Name,Product_type,Composition,Finish,Weight,Length,Width,Height,Models,Price
"DRAIN PLUG, FLOOR & TRUNK PAN, 1967-77 GM (STAMPED STEEL)","Hardware, Fasteners and Fittings",Stamped steel,Natural,0.2 lbs,5.0 in,3.5 in,0.2 in,"['1967-1976 Buick Riviera', '1967-1972 Buick Skylark', '1967-1977 Cadillac DeVille', '1967-1977 Cadillac Eldorado', '1967-1977 Cadillac Fleetwood', '1967-1981 Chevrolet Camaro', '1967-1977 Chevrolet Chevelle', '1967-1977 Chevrolet El Camino', '1964-1972 Chevrolet Impala', '1970-1977 Chevrolet Monte Carlo', '1962-1972 Chevrolet Nova', '1971-1972 GMC Sprint', '1967-1977 Oldsmobile Cutlass', '1967-1977 Pontiac Bonneville', '1967-1977 Pontiac Catalina', '1967-1981 Pontiac Firebird', '1967-1977 Pontiac Grand Prix', '1967-1973 Pontiac GTO', '1967-1973 Pontiac LeMans', '1967-1970 Pontiac Tempest']",MSRP: $6.99
"SCREEN, COWL VENT, 1968-72 A-BODY, 1969-72 GRAND PRIX, W/ AC",Cowl Induction Components,Injection-molded plastic,Black,0.3 lbs,14.8 in,4.8 in,1.5 in,"['1968-1972 Buick Skylark', '1968-1972 Chevrolet Chevelle', '1968-1972 Chevrolet El Camino', '1970-1972 Chevrolet Monte Carlo', '1968-1972 Oldsmobile Cutlass', '1969-1972 Pontiac Grand Prix', '1968-1972 Pontiac GTO', '1968-1972 Pontiac LeMans', '1968-1970 Pontiac Tempest']",MSRP: $26.99
"SPRING, HOOD HINGE, 1964-67/1970-72 A-BODY",Hood,Steel,Zinc coated,2.0 lbs,7.4 in,1.8 in,1.2 in,"['1963-1966 Chevrolet Bel Air', '1963-1966 Chevrolet Biscayne', '1967-1969 Chevrolet Camaro', '1966 Chevrolet Caprice', '1964-1967 Chevrolet Chevelle', '1970-1972 Chevrolet Chevelle', '1964-1967 Chevrolet El Camino', '1970-1972 Chevrolet El Camino', '1970 Chevrolet Impala', '1970-1972 Chevrolet Monte Carlo', '1971-1972 GMC Sprint', '1964-1967 Oldsmobile Cutlass', '1967-1969 Pontiac Firebird', '1964-1967 Pontiac GTO', '1971-1972 Pontiac GTO', '1964-1967 Pontiac LeMans', '1971-1972 Pontiac LeMans', '1964-1967 Pontiac Tempest']",MSRP: $14.99
"1964-1977 HOOD ADJUSTER BOLT KIT, GM A-BODY, RIVIERA, 1959-1963 BONNEVILLE AND CATALINA",Bolts & Studs,,,0.1 lbs,2.0 in,1.2 in,1.0 in,"['1964-1972 Buick Riviera', '1961-1972 Buick Skylark', '1971-1973 Chevrolet Bel Air', '1971-1972 Chevrolet Biscayne', '1967-1973 Chevrolet Camaro', '1971-1973 Chevrolet Caprice', '1964-1977 Chevrolet Chevelle', '1964-1977 Chevrolet El Camino', '1971-1973 Chevrolet Impala', '1970-1977 Chevrolet Monte Carlo', '1964-1970 Chevrolet Nova', '1961-1968 Oldsmobile Cutlass', '1959-1963 Pontiac Bonneville', '1959-1963 Pontiac Catalina', '1967-1969 Pontiac Firebird', '1962-1963 Pontiac Grand Prix', '1964-1967 Pontiac GTO', '1961-1967 Pontiac LeMans', '1961-1967 Pontiac Tempest']",MSRP: $14.99
"HOOD PIN SET, 1970-72 CHEVELLE/EL CAMINO, SS",Hood Components,Stainless Steel,Polished,3.0 lbs,5.6 in,3.4 in,1.0 in,"['1973-1975 Buick Apollo', '1971-1973 Buick Centurion', '1936-1942 Buick Century', '1954-1958 Buick Century', '1967 Buick Century', '1973-1996 Buick Century', '1959-1984 Buick Electra', '1971 Buick Estate', '1977-1996 Buick Estate', '1959-1985 Buick Lesabre', '1936-1942 Buick Roadmaster', '1946-1958 Buick Roadmaster', '1975-1980 Buick Skyhawk', '1963-1970 Buick Wildcat', '1958-1975 Chevrolet Bel Air', '1958-1972 Chevrolet Biscayne', '1969-1994 Chevrolet Blazer', '1958-1961 Chevrolet Brookwood', '1969-1972 Chevrolet Brookwood', '1967-2002 Chevrolet Camaro', '2010-2022 Chevrolet Camaro', '1966-1996 Chevrolet Caprice', '1970-1972 Chevrolet Chevelle', '1958-1982 Chevrolet Corvette', '1984-2022 Chevrolet Corvette', '1970-1972 Chevrolet El Camino', '1958-1985 Chevrolet Impala', '1994-1996 Chevrolet Impala', '2000-2020 Chevrolet Impala', '1970-1972 Chevrolet Monte Carlo', '1975-1980 Chevrolet Monza', '1958-1961 Chevrolet Nomad', '1962-1979 Chevrolet Nova', '1985-1988 Chevrolet Nova', '1947-2008 Chevrolet Pickup', '1955-1957 Chevrolet Tri-Five', '1971-1977 Chevrolet Vega', '1971-1987 GMC Caballero', '1971-1977 GMC Sprint', '1949-1985 Oldsmobile Eighty-Eight', '1941-1942 Oldsmobile Ninety-Eight', '1946-1984 Oldsmobile Ninety-Eight', '1973-1984 Oldsmobile Omega', '1975-1980 Oldsmobile Starfire', '1966-1985 Oldsmobile Toronado', '1976-1987 Pontiac Acadian', '1973-1977 Pontiac Astre', '1967-2002 Pontiac Firebird', '1973-1980 Pontiac Grand Am', '1959-1987 Pontiac Parisienne', '1976-1980 Pontiac Sunbird', '1960-1977 Pontiac Ventura']",MSRP: $36.99
"SEAL, INNER FENDERWELL A-ARM, 1968-72 CHEVELLE/EL CAMINO/MONTE CARLO, STEEL",Gaskets and Sealing Systems,Die stamped rubber,Included,0.1 lbs,6.7 in,1.8 in,1.5 in,"['1968-1972 Chevrolet Chevelle', '1968-1972 Chevrolet El Camino', '1970-1972 Chevrolet Monte Carlo']",MSRP: $12.99
"SCREEN, COWL VENT, 1968-72 W/O AC",Cowl Induction Components,Injection-molded plastic,Black,0.3 lbs,14.8 in,4.8 in,1.5 in,"['1968-1972 Buick Skylark', '1968-1972 Chevrolet Chevelle', '1968-1972 Chevrolet El Camino', '1970-1972 Chevrolet Monte Carlo', '1968-1972 Oldsmobile Cutlass', '1969-1972 Pontiac Grand Prix', '1968-1972 Pontiac GTO', '1968-1972 Pontiac LeMans', '1968-1970 Pontiac Tempest']",MSRP: $26.99
FIREWALL WIRE ROUTING GUTTER,"Hardware, Fasteners and Fittings",Extruded plastic,,0.2 lbs,13.7 in,2.8 in,0.7 in,"['1982 Buick Grand National', '1984-1987 Buick Grand National', '1976-1987 Buick Regal', '1963-1976 Buick Riviera', '1964-1972 Buick Skylark', '1983-1987 Buick T-Type', '1938-1953 Cadillac 60 Special', '1959-1993 Cadillac DeVille', '1953-1993 Cadillac Eldorado', '1954-1993 Cadillac Fleetwood', '1939-1951 Cadillac Series 60', '1939-1951 Cadillac Series 61', '1940-1964 Cadillac Series 62', '1939-1951 Cadillac Series 63', '1940-1964 Cadillac Series 65', '1936-1953 Cadillac Series 70', '1976-2004 Cadillac Seville', '1967-1969 Chevrolet Camaro', '1964-1977 Chevrolet Chevelle', '1964-1987 Chevrolet El Camino', '1978-1983 Chevrolet Malibu', '1997-2022 Chevrolet Malibu', '1970-1988 Chevrolet Monte Carlo', '1968-1970 Chevrolet Nova', '1964-1972 Oldsmobile Cutlass', '1978-1988 Oldsmobile Cutlass', '1965-1970 Pontiac Bonneville', '1982-1986 Pontiac Bonneville', '1965-1970 Pontiac Catalina', '1967-1969 Pontiac Firebird', '1965-1970 Pontiac Grand Prix', '1978-1987 Pontiac Grand Prix', '1964-1973 Pontiac GTO', '1964-1973 Pontiac LeMans', '1964-1970 Pontiac Tempest']",MSRP: $8.99
"1954-1977 GM 7/16"" X 14 CAGE NUT","Hardware, Fasteners and Fittings",Steel,Natural,0.3 lbs,2.5 in,2.5 in,2.0 in,"['1963-1976 Buick Riviera', '1961-1972 Buick Skylark', '1959-1977 Cadillac DeVille', '1953-1984 Cadillac Eldorado', '1954-1980 Cadillac Fleetwood', '1954-1964 Cadillac Series 62', '1954-1964 Cadillac Series 65', '1967-1969 Chevrolet Camaro', '1964-1977 Chevrolet Chevelle', '1964-1977 Chevrolet El Camino', '1970-1977 Chevrolet Monte Carlo', '1969-1974 Chevrolet Nova', '1961-1977 Oldsmobile Cutlass', '1958-1977 Pontiac Bonneville', '1959-1977 Pontiac Catalina', '1967-1969 Pontiac Firebird', '1962-1976 Pontiac Grand Prix', '1964-1973 Pontiac GTO', '1961-1974 Pontiac LeMans', '1961-1970 Pontiac Tempest']",MSRP: $17.99
"DRAIN PLUG, FLOOR & TRUNK PAN, 1961-67 GM, NOTCHED","Hardware, Fasteners and Fittings",Stamped steel,Natural,0.2 lbs,3.4 in,2.4 in,0.2 in,"['1963-1967 Buick Riviera', '1961-1967 Buick Skylark', '1961-1967 Cadillac DeVille', '1961-1967 Cadillac Eldorado', '1961-1967 Cadillac Fleetwood', '1961-1964 Cadillac Series 62', '1961-1964 Cadillac Series 65', '1967-1977 Chevrolet Camaro', '1964-1967 Chevrolet Chevelle', '1964-1967 Chevrolet El Camino', '1961-1977 Chevrolet Impala', '1962-1977 Chevrolet Nova', '1971-1977 GMC Sprint', '1964-1966 Oldsmobile Cutlass', '1973-1977 Oldsmobile Omega', '1961-1967 Pontiac Bonneville', '1961-1967 Pontiac Catalina', '1962-1967 Pontiac Grand Prix', '1964-1967 Pontiac GTO', '1961-1967 Pontiac LeMans', '1961-1967 Pontiac Tempest', '1961-1977 Pontiac Ventura']",MSRP: $7.49
"FASTENER SET, FRONT END, 1968-72 CHEVELLE/EL CAMINO/MONTE CARLO",Hardware,Metal,Black Oxide,4.6 lbs,7.9 in,4.4 in,3.4 in,"['1968-1972 Chevrolet Chevelle', '1968-1972 Chevrolet El Camino', '1970-1972 Chevrolet Monte Carlo', '1971-1972 GMC Sprint']",MSRP: $52.99
"INSULATION PAD, FIREWALL, 1964-67 A-BODY, W/AC",Dash & Accessories,Die-cut jute,Rubber backed,3.3 lbs,14.3 in,7.3 in,5.1 in,"['1964-1967 Buick Skylark', '1964-1967 Chevrolet Chevelle', '1964-1967 Chevrolet El Camino', '1964-1967 Oldsmobile Cutlass', '1964-1967 Pontiac GTO', '1964-1967 Pontiac LeMans', '1964-1967 Pontiac Tempest']",MSRP: $49.99
"INSULATION PAD, FIREWALL, 1968-72 A-BODY, NO AC",Dash & Accessories,Die-cut jute,Rubber backed,3.3 lbs,14.2 in,6.0 in,5.5 in,"['1968-1972 Buick Skylark', '1968-1972 Chevrolet Chevelle', '1968-1972 Chevrolet El Camino', '1970-1972 Chevrolet Monte Carlo', '1968-1972 Oldsmobile Cutlass', '1969-1972 Pontiac Grand Prix', '1968-1972 Pontiac GTO', '1968-1972 Pontiac LeMans', '1968-1970 Pontiac Tempest']",MSRP: $49.99
"HOOD HINGE, 1970-72 CHEVELLE/EL CAMINO/MONTE CARLO, REPRO",Hood Components,EDP-coated,,5.2 lbs,20.4 in,5.5 in,3.2 in,"['1970-1972 Chevrolet Chevelle', '1970-1972 Chevrolet El Camino', '1970 Chevrolet Impala', '1970-1972 Chevrolet Monte Carlo']",MSRP: $74.99
"BOLT, FENDER TO BODY, 1978-87 G-BODY",Fenders,Steel,Black,0.1 lbs,1.5 in,1.0 in,1.0 in,"['1982 Buick Grand National', '1984-1987 Buick Grand National', '1978-1987 Buick Regal', '1983-1987 Buick T-Type', '1978-1987 Chevrolet El Camino', '1978-1983 Chevrolet Malibu', '1978-1988 Chevrolet Monte Carlo', '1978-1988 Oldsmobile Cutlass', '1982-1986 Pontiac Bonneville', '1978-1987 Pontiac Grand Prix']",MSRP: $0.99
"STOP CLIP, WINDSHIELD GLASS, 1968-72 A-BODY",Window Component,Metal/Rubber,Galvanized,0.0 lbs,3.6 in,2.3 in,0.3 in,"['1968-1972 Buick Skylark', '1967-1969 Chevrolet Camaro', '1968-1972 Chevrolet Chevelle', '1968-1972 Chevrolet El Camino', '1970-1972 Chevrolet Monte Carlo', '1967-1979 Chevrolet Nova', '1968-1972 Oldsmobile Cutlass', '1969-1972 Pontiac Grand Prix', '1968-1972 Pontiac GTO', '1968-1972 Pontiac LeMans', '1968-1970 Pontiac Tempest']",MSRP: $9.99
"HARDWARE, INNER FENDER, 1964-72 CHEV/EL CAM/MONTE/GTO/ LEM/TEMP","Hardware, Fasteners and Fittings",Steel,EDP coated,1.4 lbs,4.7 in,3.4 in,1.7 in,"['1964-1972 Chevrolet Chevelle', '1964-1972 Chevrolet El Camino', '1970-1972 Chevrolet Monte Carlo', '1964-1972 Pontiac GTO', '1964-1972 Pontiac LeMans', '1964-1970 Pontiac Tempest']",MSRP: $26.99
"EMBLEM, HOOD, 1970-72 CHEVELLE/EL CAMINO, SS, COWL INDUCTION",Exterior Emblems,Die-cast,Chrome-Plated,0.4 lbs,6.2 in,1.9 in,0.8 in,"['1967-1968 Chevrolet Camaro', '1970-1972 Chevrolet Chevelle', '1970-1972 Chevrolet El Camino', '1970-1972 Chevrolet Monte Carlo']",MSRP: $39.99
"HOOD HINGE BOLT, 1964-72 GM ""A"" BODY/RIVIERA/1967-76 BONN/CAT/GP, 8 PC KIT",Hood,Steel,Black oxide,0.5 lbs,3.3 in,2.4 in,0.2 in,"['1964-1972 Buick Riviera', '1964-1972 Buick Skylark', '1967-1981 Chevrolet Camaro', '1964-1972 Chevrolet Chevelle', '1964-1972 Chevrolet El Camino', '1970-1972 Chevrolet Monte Carlo', '1969-1972 Chevrolet Nova', '1964-1972 Oldsmobile Cutlass', '1967-1976 Pontiac Bonneville', '1967-1976 Pontiac Catalina', '1967-1981 Pontiac Firebird', '1967-1977 Pontiac Grand Prix', '1964-1973 Pontiac GTO', '1964-1973 Pontiac LeMans', '1964-1970 Pontiac Tempest']",MSRP: $39.99
"HOOD HINGE, 1964 CHEVELLE/PONTIAC FULL SIZE/1964-67 PONTIAC/CUTLASS A-BODY",Hood Components,EDP-coated,,3.7 lbs,20.3 in,5.4 in,3.1 in,"['1964 Chevrolet Chevelle', '1964 Chevrolet El Camino', '1963-1964 Chevrolet Impala', '1963-1965 Chevrolet Nova', '1964-1967 Oldsmobile Cutlass', '1964 Pontiac Bonneville', '1964 Pontiac Catalina', '1964 Pontiac Grand Prix', '1964-1967 Pontiac GTO', '1964-1967 Pontiac LeMans', '1964-1967 Pontiac Tempest']",MSRP: $69.99
"FASTENER SET, FRONT END, 1964-67 CHEVELLE/EL CAMINO",Hardware,Metal,Black Oxide,4.4 lbs,7.9 in,4.3 in,3.3 in,"['1964-1967 Chevrolet Chevelle', '1964-1967 Chevrolet El Camino']",MSRP: $52.99
"FENDER BRACE, 1966-72 CHEVELLE/EL CAMINO/1970-72 MONTE CARLO",Fenders,Steel,Natural,0.4 lbs,12.0 in,0.8 in,0.3 in,"['1966-1972 Chevrolet Chevelle', '1966-1972 Chevrolet El Camino', '1970-1972 Chevrolet Monte Carlo', '1971-1972 GMC Sprint']",MSRP: $16.99
1978-87 EL CAMINO LICENSE PLATE POCKET,Rear Body,ABS plastic,Chrome-Plated,1.3 lbs,16.5 in,8.8 in,3.7 in,"['1978-1987 Chevrolet El Camino', '1978-1987 GMC Caballero']",MSRP: $79.99
"VACUUM ACTUATOR ASSEMBLY, COWL INDUCTION, 1970-72 CHEVELLE/EL CAMINO/MONTE",,,,0.4 lbs,3.3 in,2.6 in,1.8 in,"['1970-1972 Chevrolet Chevelle', '1970-1972 Chevrolet El Camino', '1970-1972 Chevrolet Monte Carlo']",MSRP: $32.99
"SEAL, INNER FENDERWELL A-ARM, 1968-72 CHEVELLE/EL CAMINO/MONTE CARLO, PLASTIC",Gaskets and Sealing Systems,Die stamped rubber,Included,0.1 lbs,8.1 in,2.0 in,1.9 in,"['1968-1972 Chevrolet Chevelle', '1968-1972 Chevrolet El Camino', '1970-1972 Chevrolet Monte Carlo']",MSRP: $11.99
"FLOW CONTROL VALVE, COWL INDUCTION, 1970-72 CHEVELLE/EL CAMINO/MONTE CARLO",Hood Component,Metal/Plastic,Natural,0.0 lbs,4.5 in,4.0 in,0.5 in,"['1970-1972 Chevrolet Chevelle', '1970-1972 Chevrolet El Camino', '1970-1972 Chevrolet Monte Carlo']",MSRP: $24.99
"CABLES, TAILGATE, 1978-87 EL CAMINO",Tailgate and Midgate,Braided steel,Plastic sleeves,0.3 lbs,13.6 in,1.5 in,0.5 in,['1978-1987 Chevrolet El Camino'],MSRP: $19.99
"HOOD SCREEN, 1970-72 CHEVELLE/EL CAMINO, SS, COWL INDUCTION (PREMIUM REPRO)",,,,0.6 lbs,27.0 in,4.0 in,0.5 in,"['1970-1972 Chevrolet Chevelle', '1970-1972 Chevrolet El Camino', '1970-1972 Chevrolet Monte Carlo']",MSRP: $26.99
"FLOOR PAN PATCH, 1978-88 G-BODY",Floor Component,Steel,EDP Coating,9.2 lbs,44.0 in,30.5 in,5.6 in,"['1982 Buick Grand National', '1984-1987 Buick Grand National', '1978-1987 Buick Regal', '1983-1987 Buick T-Type', '1978-1987 Chevrolet El Camino', '1978-1983 Chevrolet Malibu', '1978-1988 Chevrolet Monte Carlo', '1978-1988 Oldsmobile Cutlass', '1978-1987 Pontiac Grand Prix']",MSRP: $89.99
"HOOD DOOR SCREWS, 1970-72 CHEVELLE/EL CAMINO, SS, COWL INDUCTION, W/BUSHINGS",Accessory Bolt Kits,,,0.0 lbs,2.0 in,2.0 in,0.5 in,"['1970-1972 Chevrolet Chevelle', '1970-1972 Chevrolet El Camino', '1970-1972 Chevrolet Monte Carlo']",MSRP: $9.99
