Brand;Model;Submodel;Year;Origin
16;Hurricane Preselector;;1946 - 1948;
18;Hurricane;;1948 - 1953;
18;Hurricane Preselector;;1948 - 1953;
18;Limousine;;1950 - 1951;
18;Whitley;;1948 - 1953;
206;;GT;1968 - 1969;Italy
206;;SP;1966;Italy
208;;GT4;1975 - 1976;Italy
246;;GT;1969 - 1970;Italy
246;;GT;1970 - 1971;Italy
246;;GT;1971 - 1974;Italy
246;;GTS;1972 - 1974;Italy
308;;GT4;1973 - 1975;Italy
308;;GT4;1973 - 1976;Italy
Abarth;1000;Bialbero;1962 - 1963;Italy
Abarth;2200;Coupe;1959 - 1961;Italy
Abarth;124;Spider;1973 - 1975;Italy
Abarth;1300;Scorpione S;1969 - 1971;Italy
Abarth;131;Rally;1976 - 1978;Italy
Abarth;1500;Coupé Biposto;1952;italy
Abarth;800;Record Monza Coupé Zagato;1960 - 1962;Italy
Abarth;Autobianchi;A112;1971 - 1976;Italy
Abarth;Autobianchi;A112;1976 - 1985;Italy
Abarth;Ritmo;130 TC;1985 - 1986;Italy
Abarth;Ritmo;130 TC;1983 - 1985;Italy
Abarth;Ritmo;130 TC;1981 - 1983;Italy
Abarth;Simca;1300;1962  - 1963;Italy
Abarth;Simca;1300 GT;1964 - 1965;Italy
Abarth;Simca;1600;1963 - 1964;Italy
Abarth;Simca;2000 GT;1963 - 1964;Italy
Abarth;Simca;2000 GT;1964 - 1965;Italy
Adler;2 Liter;;1938 - 1940;Germany
Adler;Trumpf;Junior 1 E;1936 - 1941;Germany
Adler;Type 10;2.5 Litre;1937 - 1940;Germany
Alfa Romeo;1750 Spider;1A Duetto;1967 - 1969;Italy
Alfa Romeo;1900;;1954 - 1955;Italy
Alfa Romeo;2000;;1975-1975;Italy
Alfa Romeo;2600;2600 Spider;1962 - 1965;Italy
Alfa Romeo;33;1.3;1986 - 1989;Italy
Alfa Romeo;6;;1979 - 1983;Italy
Alfa Romeo;6C 2500;Freccia D'oro;1947 - 1950;Italy
Alfa Romeo;90;2.5 V6 Quadrifoglio Oro;1984 - 1986;Italy
Alfa Romeo;Alfasud;1.2;1972 - 1980;Italy
Alfa Romeo;Alfasud;1.2;1980 - 1981;Italy
Alfa Romeo;Alfasud Sprint;1.3;1976 -1979;Italy
Alfa Romeo;Alfetta;GT (Tipo 116);1974 - 1975;Italy
Alfa Romeo;Alfetta;GT 1.6 (Tipo 116);1976 - 1980;Italy
Alfa Romeo;Alfetta;GTV (Tipo 116);1976 - 1978;Italy
Alfa Romeo;Alfetta;GTV 2000 Turbodelta (Tipo 116);1979 - 1980;Italy
Alfa Romeo;Giulia;;1966 - 1974;Italy
Alfa Romeo;Giulia;;1971 - 1976;Italy
Alfa Romeo;Giulia;GTC;1965 - 1966;Italy
Alfa Romeo;Montreal;;1971 - 1977;Italy
Alfa Romeo;Zagato;RZ;1992 - 1993;Italy
Alfa Romeo;145;1.4;1994 - 1996;Italy
Alfa Romeo;145;1.4 16V T.Spark;1997 - 1999;Italy
Alfa Romeo;145;1.4 16V T.Spark;1999 - 2000;Italy
Alfa Romeo;145;1.4 16V T.Spark Edizione Sportiva;2000;Italy
Alfa Romeo;145;1.4 16V T.Spark Junior;1998 - 1999;Italy
Alfa Romeo;145;1.4 16V T.Spark L;1997 - 1999;Italy
Alfa Romeo;145;1.4 16V T.Spark L;1999 - 2000;Italy
Alfa Romeo;145;1.4 16V T.Spark Limited Edition 500;2000;Italy
Alfa Romeo;145;1.4 L;1994 - 1996;Italy
Alfa Romeo;145;1.6;1994 - 1996;Italy
Alfa Romeo;145;1.6 16V T.Spark;1997 - 1999;Italy
Alfa Romeo;145;1.6 16V T.Spark;1999 - 2000;Italy
Alfa Romeo;145;1.6 16V T.Spark Edizione Sportiva;2000;Italy
Alfa Romeo;145;1.6 16V T.Spark Junior;1998 - 1999;Italy
Alfa Romeo;145;1.6 16V T.Spark Limited Edition 500;2000;Italy
Alfa Romeo;145;1.7 16V;1994 - 1996;Italy
Alfa Romeo;145;1.8 16V T.Spark;1997 - 1998;Italy
Alfa Romeo;145;1.8 16V T.Spark;1998 - 1999;Italy
Alfa Romeo;145;1.8 16V T.Spark;1999 - 2000;Italy
Alfa Romeo;145;1.9 JTD 8V;1999 - 2000;Italy
Alfa Romeo;145;1.9 JTD 8V Edizione Sportiva;2000;Italy
Alfa Romeo;145;1.9 JTD 8V Limited Edition 500;2000;Italy
Alfa Romeo;145;2.0 16V T.Spark Quadrifoglio;1995 - 1996;Italy
Alfa Romeo;145;2.0 16V T.Spark Quadrifoglio;1997 - 1998;Italy
Alfa Romeo;145;2.0 16V T.Spark Quadrifoglio;1998 - 1999;Italy
Alfa Romeo;145;2.0 16V T.Spark Quadrifoglio;1999 - 2000;Italy
Alfa Romeo;145;2.0 TD;1997 - 1999;Italy
Alfa Romeo;145;TD;1996;Italy
Alfa Romeo;146;1.4;1995 - 1997;Italy
Alfa Romeo;146;1.4 16V T.Spark;1997 - 1999;Italy
Alfa Romeo;146;1.4 16V T.Spark;1999 - 2000;Italy
Alfa Romeo;146;1.4 16V T.Spark L;1997 - 1999;Italy
Alfa Romeo;146;1.4 16V T.Spark L;1999 - 2000;Italy
Alfa Romeo;146;1.4 L;1995 - 1997;Italy
Alfa Romeo;146;1.6;1995 - 1997;Italy
Alfa Romeo;146;1.6 16V T.Spark;1997 - 1999;Italy
Alfa Romeo;146;1.6 16V T.Spark;1999 - 2000;Italy
Alfa Romeo;146;1.7 16V;1995 - 1996;Italy
Alfa Romeo;146;1.8 16V T.Spark;1997 - 1998;Italy
Alfa Romeo;146;1.8 16V T.Spark;1998 - 1999;Italy
Alfa Romeo;146;1.8 16V T.Spark;1999 - 2000;Italy
Alfa Romeo;146;1.9 JTD 8V;1999 - 2000;Italy
Alfa Romeo;146;TD;1995 - 1997;Italy
Alfa Romeo;146;ti;1996 - 1997;Italy
Alfa Romeo;146;ti;1996 - 1998;Italy
Alfa Romeo;146;ti;1998 - 1999;Italy
Alfa Romeo;146;ti;1999 - 2000;Italy
Alfa Romeo;164;2.0 Twin Spark;1987 - 1993;Italy
Alfa Romeo;164;2.0 V6 Turbo;1991 - 1993;Italy
