Brand,Version,Supplier,Supplier_type,Country,City,Address,IATA,City_airport,climate_impact_kg_co2,flight_distance_km,co2_emissions_kg,climate_impact_of_contrails_ozone_formation_etc_kg,Fuel_consumption_l
Abarth,8.0,Joop Stolze Classic Cars,service,Belgium,Lier,"Lierweg 34a, 2678 CW De Lier, Netherlands",TTC,Brea,"3,133","9,634","1,064","2,069",421
Abarth,,Berni Motori,service,Italy,Vittoria,"Via Monte Vioz, 7, 26847 Maleo, LO, Italy",BAR,Bar,"6,055","15,562","2,042","4,013",808
Abarth,,KFZ Werkstatt Harald Dietze,service,Germany,Zwickau,"Zwischen den Wegen 7, 78239 Rielasingen-Worblingen, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Abarth,,Middle Barton Garage,spare parts,United Kingdom,Bicester,"Ardley Road, Somerton, Bicester, Oxfordshire OX25 6NG, UK",OXF,Oxford,449,"1,619",169,280,67
AC,,Cobra Performance Ltd,service,United Kingdom,Arnold,"777 Arnold Drive Suite 200, Martinez, CA 94553, USA",LBE,Arnold,"1,705","5,919",586,"1,119",232
AC,,DrivePast,service,France,Yerres,"6 Rue Henri Paris, 59200 Tourcoing, France",AVO,Avon,"1,998","6,735",684,"1,314",271
AC,,Redline Engineering UK,service,Canada,Surrey,"Ten Acre Farm, Stonehill Road, Ottershaw, Lyne, Chertsey, Surrey KT16 0AQ, UK",TMZ,Walton-on-Thames,"8,091","19,638","2,724","5,367","1,077"
AC,,Total Headturners,service,Australia,Epping,"Thornwood. Epping CM16 6NE, UK",LUX,Luxembourg,489,"1,759",182,307,51
Alfa Romeo,3.0,Garage Stevens B.V.,service,Netherlands,Zwolle,"Geleenstraat 60, 6155 ND Puth, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
Abarth,8.0,Joop Stolze Classic Cars,service,Belgium,Lier,"Lierweg 34a, 2678 CW De Lier, Netherlands",TTC,Brea,"3,133","9,634","1,064","2,069",421
Alfa Romeo,3.0,Montagna d’Oro,service,Netherlands,Zwolle,"Houtwal 30b, 8431 EX Oosterwolde, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
Alfa Romeo,,Alex Jupe Motorsports,service,United Kingdom,Chichester,"Bosham, Unit 8A, Top Barn, Church Farm, Old Park Ln, Chichester PO18 8AP, UK",QUG,Chichester,,,,,
Alfa Romeo,,Alfa As,service,Netherlands,Zwolle,"Cannenburgerweg 63m, 1244 RH Ankeveen, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
Alfa Romeo,,Alfa Classic Center,service,Germany,Zwickau,"Schulte-Heuthaus-Straße 23A, 44379 Dortmund, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Alfa Romeo,,Alfa Classic Motors,service,France,Yerres,"81 Impasse de la Source, 83170 Brignoles, France",AVO,Avon,"1,998","6,735",684,"1,314",271
Alfa Romeo,,Alfa Donnini Repairs,service,Australia,Whyalla,"849 Dandenong Road, Malvern East VIC 3145, Australia",WYA,Whyalla,"6,789","17,032","2,288","4,501",905
Alfa Romeo,,Alfa Mario,service,Netherlands,Zwolle,"Boschdijk 944, 5627 AC Eindhoven, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
Alfa Romeo,,Alfa Michel,service,Germany,Zwickau,"Auf dem Höchst 4, 54611 Scheid, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Alfa Romeo,,Alfa Montreal Service,service,Germany,Zwickau,"Im Johannesgarten 3, 77975 Ringsheim, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Alfa Romeo,,Alfa Parts,service,Switzerland,Zürich,"Zelgstrasse 91, 3661 Uetendorf, Switzerland",ZRH,Zürich,427,"1,770",158,269,45
Alfa Romeo,,Alfa Zentrale,service,Germany,Zwickau,"Rosendahler Str. 139b, 58285 Gevelsberg, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
Alfa Romeo,,Alfaholics,service,United Kingdom,Clevedon,"Hither Grn, Clevedon BS21 6XU, UK",BRS,Bristol,430,"1,540",163,267,64
